Linux 2.6.18-398.el5 (server_rhel5) 	01/05/2020

12:00:01 AM    proc/s
12:10:01 AM     76.83
12:20:01 AM    107.17
12:30:01 AM    105.19
12:40:01 AM    110.02
12:50:01 AM     15.20
01:00:01 AM     89.41
01:10:01 AM     65.69
01:20:01 AM     41.29
01:30:01 AM     22.27
01:40:01 AM     20.21
01:50:01 AM     75.95
02:00:01 AM    175.05
Average:        75.36

12:00:01 AM   cswch/s
12:10:01 AM   5551.93
12:20:01 AM   5974.30
12:30:01 AM   6288.31
12:40:01 AM   5940.90
12:50:01 AM   4240.95
01:00:01 AM   4651.12
01:10:01 AM   5831.87
01:20:01 AM   6065.06
01:30:01 AM   4515.08
01:40:01 AM   4092.01
01:50:01 AM   8262.38
02:00:01 AM   9662.14
Average:      5922.82

12:00:01 AM       CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM       all     16.80      0.00     20.14      8.07      0.00     54.99
12:10:01 AM         0     10.90      0.00     17.73      2.55      0.00     68.81
12:10:01 AM         1     11.68      0.00     16.35      2.82      0.00     69.15
12:10:01 AM         2     14.96      0.00     16.99      2.86      0.00     65.19
12:10:01 AM         3     15.86      0.00     15.39      3.30      0.00     65.44
12:10:01 AM         4     13.14      0.00     15.78      2.88      0.00     68.20
12:10:01 AM         5     11.04      0.00     16.32      2.90      0.00     69.74
12:10:01 AM         6     36.95      0.00     29.27     13.82      0.00     19.96
12:10:01 AM         7     19.87      0.00     33.32     33.40      0.00     13.42
12:20:01 AM       all     17.84      0.00     27.08      6.32      0.00     48.76
12:20:01 AM         0     18.16      0.00     24.58      1.63      0.00     55.63
12:20:01 AM         1     15.75      0.00     23.99      1.68      0.00     58.58
12:20:01 AM         2     14.22      0.00     24.42      1.91      0.00     59.46
12:20:01 AM         3     14.32      0.00     23.59      1.88      0.00     60.21
12:20:01 AM         4     14.92      0.00     22.97      1.92      0.00     60.19
12:20:01 AM         5     12.32      0.00     23.70      2.03      0.00     61.96
12:20:01 AM         6     33.74      0.00     33.11     10.70      0.00     22.46
12:20:01 AM         7     19.31      0.00     40.30     28.82      0.00     11.56
12:30:01 AM       all     11.92      0.00     26.62      6.51      0.00     54.95
12:30:01 AM         0      8.43      0.00     24.68      1.51      0.00     65.38
12:30:01 AM         1     10.03      0.00     23.04      1.45      0.00     65.47
12:30:01 AM         2      7.94      0.00     24.22      1.58      0.00     66.27
12:30:01 AM         3      7.44      0.00     23.85      1.73      0.00     66.98
12:30:01 AM         4      7.93      0.00     22.33      1.67      0.00     68.07
12:30:01 AM         5      7.73      0.00     22.55      1.61      0.00     68.10
12:30:01 AM         6     28.51      0.00     32.96     11.80      0.00     26.73
12:30:01 AM         7     17.36      0.00     39.30     30.71      0.00     12.63
12:40:01 AM       all     17.35      0.00     26.20      6.48      0.00     49.97
12:40:01 AM         0     14.01      0.00     24.52      1.87      0.00     59.59
12:40:01 AM         1     13.46      0.00     23.56      1.91      0.00     61.07
12:40:01 AM         2     12.95      0.00     23.49      1.91      0.00     61.65
12:40:01 AM         3     17.64      0.00     21.44      1.94      0.00     58.98
12:40:01 AM         4     14.77      0.00     21.80      1.98      0.00     61.45
12:40:01 AM         5     11.90      0.00     22.89      2.24      0.00     62.98
12:40:01 AM         6     34.85      0.00     32.37     10.19      0.00     22.60
12:40:01 AM         7     19.24      0.00     39.50     29.79      0.00     11.46
12:50:01 AM       all     13.20      0.00      8.84      7.98      0.00     69.98
12:50:01 AM         0     11.45      0.00      4.59      1.50      0.00     82.46
12:50:01 AM         1      5.53      0.00      4.46      1.63      0.00     88.37
12:50:01 AM         2      9.81      0.00      4.20      1.53      0.00     84.46
12:50:01 AM         3      8.56      0.00      4.25      1.53      0.00     85.66
12:50:01 AM         4      7.06      0.00      4.36      1.65      0.00     86.94
12:50:01 AM         5      5.72      0.00      4.77      1.65      0.00     87.86
12:50:01 AM         6     39.49      0.00     18.94     12.23      0.00     29.34
12:50:01 AM         7     17.97      0.00     25.20     42.10      0.00     14.73
01:00:01 AM       all      9.23      0.00      8.42      8.10      0.00     74.25
01:00:01 AM         0      5.00      0.00      3.92      1.22      0.00     89.86
01:00:01 AM         1      4.25      0.00      3.88      1.37      0.00     90.51
01:00:01 AM         2      4.99      0.00      3.88      1.30      0.00     89.83
01:00:01 AM         3      4.67      0.00      3.73      1.20      0.00     90.40
01:00:01 AM         4      4.55      0.00      3.99      1.54      0.00     89.91
01:00:01 AM         5      4.79      0.00      4.09      1.16      0.00     89.96
01:00:01 AM         6     28.82      0.00     19.14     14.76      0.00     37.28
01:00:01 AM         7     16.77      0.00     24.74     42.27      0.00     16.22
01:10:01 AM       all     12.82      0.01     18.32      8.07      0.00     60.79
01:10:01 AM         0      9.13      0.01     14.92      3.06      0.00     72.88
01:10:01 AM         1      8.37      0.01     14.57      3.08      0.00     73.97
01:10:01 AM         2      9.48      0.00     13.53      3.10      0.00     73.88
01:10:01 AM         3     11.14      0.01     13.35      2.98      0.00     72.52
01:10:01 AM         4      8.50      0.01     13.37      2.62      0.00     75.50
01:10:01 AM         5      8.16      0.01     13.43      2.86      0.00     75.55
01:10:01 AM         6     27.50      0.00     26.27     16.71      0.00     29.52
01:10:01 AM         7     20.27      0.04     37.11     30.13      0.00     12.45
01:20:01 AM       all     19.24      0.00     18.28     12.04      0.00     50.44
01:20:01 AM         0     21.65      0.00     11.98      7.18      0.00     59.19
01:20:01 AM         1     17.15      0.00     12.62      6.95      0.00     63.28
01:20:01 AM         2     15.05      0.00     12.59      6.93      0.00     65.43
01:20:01 AM         3     14.69      0.00     13.08      7.65      0.00     64.57
01:20:01 AM         4     15.50      0.00     12.08      7.67      0.00     64.75
01:20:01 AM         5     11.06      0.00     12.70      7.47      0.00     68.77
01:20:01 AM         6     35.47      0.00     33.60     18.68      0.00     12.24
01:20:01 AM         7     23.36      0.00     37.58     33.77      0.00      5.29
01:30:01 AM       all     13.29      0.00     13.45     13.66      0.00     59.61
01:30:01 AM         0      9.30      0.00      7.86      8.45      0.00     74.39
01:30:01 AM         1      9.37      0.00      7.45      7.61      0.00     75.57
01:30:01 AM         2      7.70      0.00      7.29      7.09      0.00     77.92
01:30:01 AM         3      7.87      0.00      7.68      7.98      0.00     76.47
01:30:01 AM         4      8.34      0.00      7.22      7.78      0.00     76.66
01:30:01 AM         5      6.70      0.00      7.47      7.77      0.00     78.06
01:30:01 AM         6     34.18      0.00     32.29     21.46      0.00     12.07
01:30:01 AM         7     22.87      0.00     30.32     41.10      0.00      5.71
01:40:01 AM       all     15.40      0.00      9.55     12.00      0.00     63.05
01:40:01 AM         0     11.34      0.00      5.14      4.52      0.00     79.00
01:40:01 AM         1      9.91      0.00      4.64      4.20      0.00     81.25
01:40:01 AM         2     16.61      0.00      4.36      3.62      0.00     75.41
01:40:01 AM         3     12.90      0.00      4.50      4.42      0.00     78.18
01:40:01 AM         4     10.10      0.00      4.26      4.09      0.00     81.55
01:40:01 AM         5      7.99      0.00      4.49      4.36      0.00     83.16
