
SunOS server_sol5.10 5.10 Generic_148888-05 sun4v    07/17/2019

00:00:00    %usr    %sys    %wio   %idle
00:05:01       0       0       0     100
00:10:00       0       0       0     100
00:15:00       0       0       0     100
00:20:01       0       0       0      99
00:25:00       0       0       0     100
00:30:00       0       0       0     100
00:35:00       0       0       0     100
00:40:00       0       2       0      98
00:45:00       0       1       0      99
00:50:00       0       1       0      98
00:55:00       0       1       0      99
01:00:02       0       2       0      98
01:05:00       0       2       0      98
01:10:00       0       1       0      99
01:15:00       0       0       0      99
01:20:00       0       1       0      99
01:25:00       0       0       0      99
01:30:00       0       0       0     100
01:35:00       0       0       0     100
01:40:00       0       0       0      99
01:45:00       0       0       0     100
01:50:00       0       0       0      99
01:55:00       0       0       0      99
02:00:00       0       0       0     100
02:05:00       0       0       0     100
02:10:00       0       0       0     100
02:15:00       0       0       0      99
02:20:00       0       1       0      99
02:25:00       0       0       0      99
02:30:00       0       0       0      99
02:35:00       0       1       0      99
02:40:00       0       1       0      99
02:45:00       0       1       0      99
02:50:00       0       1       0      99
02:55:00       0       1       0      99
03:00:00       0       1       0      99
03:05:00       0       1       0      99
03:10:00       0       1       0      99
03:15:00       0       1       0      99
03:20:00       1       2       0      97
03:25:00       2       2       0      97
03:30:00       3       0       0      96
03:35:00       3       0       0      96
03:40:00       0       1       0      98
03:45:01       0       1       0      99
03:50:00       0       1       0      99
03:55:00       0       1       0      99
04:00:00       1       1       0      99
04:05:00       0       0       0     100
04:10:00       0       0       0     100
04:15:00       0       0       0     100
04:20:00       0       0       0     100
04:25:00       0       0       0     100
04:30:00       0       0       0      99
04:35:00       0       0       0     100
04:40:00       0       0       0      99
04:45:00       0       0       0     100
04:50:00       0       0       0     100
04:55:00       0       0       0     100
05:00:00       0       0       0      99
05:05:00       0       0       0     100
05:10:00       0       0       0     100
05:15:00       0       0       0     100
05:20:00       0       0       0     100
05:25:01       0       0       0     100
05:30:00       0       0       0      99
05:35:00       0       0       0     100
05:40:00       0       0       0      99
05:45:00       0       0       0     100
05:50:00       0       0       0     100
05:55:00       0       0       0     100
06:00:00       0       0       0      99
06:05:00       0       0       0     100
06:10:00       0       0       0     100
06:15:00       0       0       0     100
06:20:00       0       0       0     100
06:25:00       0       0       0     100
06:30:00       0       0       0      99
06:35:01       0       0       0     100
06:40:00       0       0       0      99
06:45:00       0       0       0     100
06:50:01       0       0       0     100
06:55:00       0       0       0     100
07:00:00       0       0       0      99
07:05:00       0       1       0      99
07:10:00       0       0       0     100
07:15:00       0       0       0     100
07:20:00       0       0       0     100
07:25:00       0       0       0     100
07:30:00       0       0       0     100
07:35:00       0       0       0      99
07:40:00       0       0       0      99
07:45:00       0       0       0     100
07:50:00       0       0       0      99
07:55:00       0       0       0      99
08:00:00       0       0       0      99
08:05:00       0       0       0      99
08:10:00       0       0       0      99
08:15:00       0       0       0     100
08:20:01       0       0       0      99
08:25:00       0       0       0     100
08:30:00       0       0       0      99
08:35:00       0       0       0      99
08:40:00       0       0       0      99
08:45:00       0       0       0      99
08:50:00       0       0       0      99
08:55:00       0       0       0      99
09:00:00       0       0       0      99
09:05:00       0       0       0      99
09:10:00       0       0       0      99
09:15:00       0       0       0     100
09:20:00       0       0       0      99
09:25:00       0       0       0      99
09:30:00       0       0       0      99
09:35:00       0       0       0      99
09:40:00       0       0       0      99
09:45:00       0       0       0     100
09:50:00       0       0       0      99
09:55:00       0       0       0      99
10:00:00       0       0       0      99
10:05:00       0       0       0      99
10:10:00       0       0       0      99
10:15:00       1       0       0      99
10:20:00       0       0       0      99
10:25:00       0       0       0      99
10:30:00       0       0       0      99
10:35:00       0       0       0     100
10:40:00       0       0       0      99
10:45:00       0       0       0     100
10:50:00       0       0       0      99
10:55:00       0       0       0      99
11:00:00       0       0       0      99
11:05:00       0       0       0      99
11:10:00       0       0       0      99
11:15:00       0       0       0      99
11:20:00       0       0       0      99
11:25:00       0       0       0      99
11:30:00       0       0       0      99
11:35:00       0       0       0      99
11:40:00       0       0       0      99
11:45:00       0       0       0      99
11:50:00       0       0       0      99
11:55:00       0       0       0      99
12:00:00       0       0       0      99
12:05:00       0       0       0     100
12:10:00       0       0       0      99
12:15:00       0       0       0      99
12:20:00       0       0       0      99
12:25:00       0       0       0     100
12:30:00       0       0       0      99
12:35:00       0       0       0     100
12:40:00       0       0       0      99
12:45:00       0       0       0      99
12:50:00       0       0       0      99
12:55:00       0       0       0      99
13:00:00       0       0       0      99
13:05:00       0       0       0      99
13:10:00       0       0       0      99
13:15:00       0       0       0      99
13:20:00       0       0       0      99
13:25:00       0       0       0      99
13:30:00       0       0       0      99
13:35:00       0       0       0     100
13:40:00       0       0       0      99
13:45:00       0       0       0     100
13:50:00       0       0       0      99
13:55:00       0       0       0      99
14:00:00       0       0       0      99
14:05:00       0       0       0      99
14:10:00       0       0       0      99
14:15:00       0       0       0      99
14:20:00       0       0       0      99
14:25:00       0       0       0      99
14:30:00       0       0       0      99
14:35:00       0       0       0      99
14:40:00       0       0       0      99
14:45:01       0       0       0      99
14:50:00       0       0       0      99
14:55:00       0       0       0      99
15:00:00       0       0       0      99
15:05:00       0       0       0      99
15:10:00       0       0       0      99
15:15:00       0       0       0     100
15:20:00       0       0       0      99
15:25:00       0       0       0      99
15:30:00       0       0       0     100
15:35:00       0       0       0      99
15:40:00       0       0       0      99
15:45:00       0       0       0      99
15:50:00       0       0       0      99
15:55:00       0       0       0      99
16:00:00       0       0       0      99
16:05:01       0       0       0      99
16:10:00       0       0       0      99
16:15:00       0       0       0      99
16:20:00       0       0       0      99
16:25:00       1       1       0      98
16:30:00       1       0       0      99
16:35:00       0       0       0      99
16:40:00       0       0       0      99
16:45:00       0       0       0      99
16:50:00       0       0       0      99
16:55:00       0       0       0      99
17:00:00       0       0       0      99
17:05:00       0       0       0      99
17:10:00       0       0       0      99
17:15:00       0       0       0      99
17:20:00       0       0       0      99
17:25:00       0       0       0      99
17:30:00       0       0       0      99
17:35:00       0       0       0      99
17:40:00       0       0       0      99
17:45:00       0       0       0     100
17:50:00       0       0       0      99
17:55:00       0       0       0      99
18:00:00       0       0       0      99
18:05:00       0       0       0      99
18:10:00       0       0       0      99
18:15:00       0       0       0     100
18:20:00       0       0       0      99
18:25:00       0       0       0      99
18:30:00       0       0       0      99
18:35:00       0       0       0      99
18:40:00       0       0       0      99
18:45:00       0       0       0      99
18:50:00       0       0       0      99
18:55:00       0       0       0      99
19:00:00       0       0       0      99
19:05:00       0       0       0      99
19:10:00       0       0       0      99
19:15:00       0       0       0     100
19:20:00       0       0       0      99
19:25:00       0       0       0     100
19:30:00       0       0       0      99
19:35:00       0       0       0      99
19:40:00       0       0       0      99
19:45:01       0       0       0     100
19:50:00       0       0       0      99
19:55:00       0       0       0      99
20:00:00       0       0       0      99
20:05:00       0       0       0     100
20:10:00       0       0       0      99
20:15:00       0       0       0      99
20:20:00       0       0       0      99
20:25:01       0       0       0     100
20:30:00       0       0       0      99
20:35:00       0       0       0     100
20:40:00       0       0       0      99
20:45:00       0       0       0      99
20:50:00       0       0       0      99
20:55:00       0       0       0      99
21:00:00       0       0       0      99
21:05:00       0       0       0     100
21:10:00       0       0       0     100
21:15:00       0       0       0     100
21:20:00       0       0       0      99
21:25:00       0       0       0     100
21:30:00       0       0       0      99
21:35:00       0       0       0      99
21:40:00       0       0       0      99
21:45:01       0       0       0     100
21:50:00       0       0       0      99
21:55:00       0       0       0      99
22:00:00       0       0       0      99
22:05:00       0       0       0     100
22:10:00       0       0       0      99
22:15:00       0       0       0     100
22:20:00       0       0       0      99
22:25:00       0       0       0     100
22:30:00       0       0       0      99
22:35:00       0       0       0      99
22:40:00       0       0       0      99
22:45:00       0       0       0     100
22:50:00       0       0       0      99
22:55:00       0       0       0      99
23:00:00       0       0       0      99
23:05:01       0       0       0     100
23:10:00       0       0       0      99
23:15:00       0       0       0     100
23:20:00       0       0       0      99
23:25:00       0       0       0     100
23:30:00       0       0       0      99
23:35:00       0       0       0     100
23:40:00       0       0       0      99
23:45:00       0       0       0     100
23:50:00       0       0       0      99
23:55:00       0       0       0      99

Average        0       0       0      99

00:00:00   device        %busy   avque   r+w/s  blks/s  avwait  avserv

00:05:01   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       4      94     0.0     2.5
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

00:10:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.1       5     208     0.0    10.7
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

00:15:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       5      98     0.0     5.2
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

00:20:01   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0       5      89     0.0     7.9
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
