
SunOS server_sol5.8 5.8 Generic_117350-47 sun4u    07/17/19

00:00:00    %usr    %sys    %wio   %idle
00:05:00       0       1       1      97
00:10:01       0       1       1      97
00:15:00       0       1       1      98
00:20:00       0       1       1      97
00:25:00       0       1       1      97
00:30:00       0       1       1      97
00:35:00       1       2      13      84
00:40:00       0       1       3      95
00:45:00       0       1       1      98
00:50:00       0       1       1      97
00:55:00       0       1       1      97
01:00:00       0       1       1      98
01:05:00       0       1       2      97
01:10:00       0       1       1      97
01:15:00       0       1       1      98
01:20:00       0       1       1      97
01:25:00       0       1       1      97
01:30:00       7       9       5      80
01:35:00       0       1       1      97
01:40:00       0       1       1      98
01:45:00       0       1       1      98
01:50:00       0       1       1      98
01:55:00       0       1       1      98
02:00:00       0       1       1      98
02:05:00       0       1       1      97
02:10:00       0       1       1      97
02:15:00       0       1       1      98
02:20:00       0       1       1      97
02:25:00       0       1       1      98
02:30:00       0       1       1      97
02:35:00       0       1       1      97
02:40:00       0       1       1      97
02:45:00       0       1       1      97
02:50:00       0       1       1      98
02:55:00       0       1       1      97
03:00:00       0       1       1      98
03:05:00       0       1       1      97
03:10:00       0       1       1      97
03:15:00       0       1       1      97
03:20:00       0       1       1      97
03:25:00       0       1       1      97
03:30:00       0       1       1      98
03:35:00       0       1       1      98
03:40:00       0       1       1      97
03:45:00       0       1       1      97
03:50:00       0       1       1      98
03:55:00       0       1       1      97
04:00:00       0       1       1      97
04:05:00       0       1       1      97
04:10:00       0       1       1      97
04:15:00       0       1       1      98
04:20:00       0       1       1      98
04:25:00       0       1       1      97
04:30:00       0       1       1      97
04:35:01       0       1       1      97
04:40:00       0       1       1      97
04:45:00       0       1       1      97
04:50:01       0       1       1      97
04:55:00       0       1       1      97
05:00:00       0       1       1      97
05:05:00       0       1       1      97
05:10:00       0       1       1      97
05:15:00       0       1       1      97
05:20:00       0       1       1      97
05:25:00       0       1       1      98
05:30:00       0       1       1      97
05:35:00       0       1       1      97
05:40:00       0       1       1      97
05:45:00       1       2       2      94
05:50:00       1       1       2      96
05:55:00       0       1       1      98
06:00:00       0       1       1      97
06:05:00       0       1       1      97
06:10:00       0       1       1      97
06:15:00       0       1       1      98
06:20:00       0       1       1      97
06:25:00       0       1       1      97
06:30:00       0       1       1      97
06:35:00       0       1       1      98
06:40:01       0       1       1      97
06:45:00       0       1       1      98
06:50:00       0       1       1      97
06:55:00       0       1       1      98
07:00:00       0       1       1      97
07:05:00       1       2       2      95
07:10:00       0       1       1      97
07:15:00       0       1       1      98
07:20:00       0       1       1      97
07:25:00       0       1       1      98
07:30:00       0       1       2      97
07:35:01       0       1       1      97
07:40:00       0       1       1      97
07:45:00       0       1       1      97
07:50:00       0       1       1      98
07:55:00       0       1       1      98
08:00:00       0       1       1      98
08:05:00       0       1       1      98
08:10:01       0       1       1      98
08:15:00       0       1       1      98
08:20:00       0       1       1      98
08:25:00       0       1       1      98
08:30:00       0       1       1      98
08:35:00       0       1       1      98
08:40:00       0       1       1      98
08:45:00       0       1       1      98
08:50:00       0       1       1      97
08:55:01       0       1       1      97
09:00:00       0       1       1      98
09:05:00       0       1       1      97
09:10:00       0       1       1      98
09:15:00       0       1       1      98
09:20:00       0       1       1      98
09:25:00       0       1       1      98
09:30:00       0       1       1      98
09:35:00       0       1       1      98
09:40:01       0       1       1      97
09:45:00       0       1       1      97
09:50:00       0       1       1      98
09:55:00       0       1       1      97
10:00:00       0       1       1      97
10:05:00       0       1       1      97
10:10:00       0       1       1      97
10:15:00       0       1       1      98
10:20:00       0       1       1      97
10:25:00       0       1       1      97
10:30:00       0       1       1      97
10:35:00       0       1       1      97
10:40:01       0       1       1      97
10:45:00       0       1       1      97
10:50:00       0       1       1      97
10:55:00       0       1       1      98
11:00:00       0       1       1      97
11:05:00       0       1       1      97
11:10:00       0       1       1      97
11:15:00       0       1       1      97
11:20:00       0       1       1      97
11:25:00       0       1       1      97
11:30:00       0       1       1      97
11:35:00       0       1       1      97
11:40:00       0       1       1      98
11:45:00       0       1       1      97
11:50:00       0       1       1      97
11:55:00       0       1       1      97
12:00:00       0       1       1      97
12:05:00       0       1       1      97
12:10:00       0       1       1      97
12:15:01       0       1       1      97
12:20:00       0       1       1      97
12:25:00       0       1       1      97
12:30:00       0       1       1      97
12:35:00       0       1       1      97
12:40:00       0       1       1      97
12:45:00       0       1       1      97
12:50:00       0       1       1      97
12:55:00       0       1       1      97
13:00:01       0       1       1      97
13:05:00       0       1       1      97
13:10:00       0       1       1      97
13:15:00       0       1       1      97
13:20:00       0       1       1      97
13:25:00       0       1       1      98
13:30:00       0       1       1      98
13:35:00       0       1       1      97
13:40:00       0       1       1      97
13:45:00       0       1       1      98
13:50:00       0       1       1      97
13:55:00       0       1       1      97
14:00:00       0       1       1      97
14:05:00       0       1       1      97
14:10:00       0       1       1      97
14:15:00       0       1       1      98
14:20:00       0       1       1      98
14:25:00       0       1       1      97
14:30:01       0       1       1      98
14:35:00       0       1       1      97
14:40:00       0       1       1      98
14:45:00       0       1       1      97
14:50:00       0       1       1      97
14:55:00       0       1       1      97
15:00:00       0       1       1      97
15:05:00       0       1       1      97
15:10:00       0       1       1      98
15:15:00       0       1       1      97
15:20:00       0       1       1      97
15:25:00       0       1       1      97
15:30:00       0       1       1      98
15:35:00       0       1       1      97
15:40:00       0       1       1      97
15:45:00       0       1       1      97
15:50:00       0       1       1      98
15:55:00       0       1       1      97
16:00:00       0       1       1      97
16:05:00       0       1       1      97
16:10:00       0       1       1      97
16:15:00       0       1       1      98
16:20:00       0       1       1      97
16:25:00       0       1       1      97
16:30:00       0       1       1      97
16:35:00       0       1       1      97
16:40:00       0       1       1      97
16:45:00       0       1       1      98
16:50:00       0       1       1      97
16:55:00       0       1       1      97
17:00:00       0       1       2      96
17:05:00       0       1       1      97
17:10:00       0       1       1      97
17:15:00       0       1       1      97
17:20:00       0       1       1      97
17:25:00       0       1       1      97
17:30:00       0       1       1      98
17:35:00       0       1       1      97
17:40:00       0       1       1      97
17:45:00       0       1       1      97
17:50:00       0       1       1      98
17:55:00       0       1       1      97
18:00:00       0       1       1      97
18:05:00       0       1       1      97
18:10:00       0       1       1      97
18:15:00       0       1       1      97
18:20:00       0       1       1      97
18:25:00       0       1       1      97
18:30:00       0       1       1      97
18:35:00       0       1       1      97
18:40:00       0       1       1      97
18:45:00       0       1       1      98
18:50:00       0       1       1      97
18:55:00       0       1       1      97
19:00:00       0       1       1      97
19:05:00       0       1       1      97
19:10:00       0       1       1      97
19:15:00       0       1       1      97
19:20:00       0       1       1      97
19:25:00       0       1       1      97
19:30:00       0       1       1      97
19:35:00       0       1       1      97
19:40:00       0       1       1      97
19:45:00       0       1       1      97
19:50:00       0       1       1      98
19:55:00       0       1       1      97
20:00:00       0       1       1      97
20:05:00       0       1       1      97
20:10:00       0       1       1      97
20:15:00       0       1       1      98
20:20:00       0       1       1      97
20:25:01       0       1       1      98
20:30:00       0       1       1      98
20:35:00       0       1       1      98
20:40:00       0       1       1      97
20:45:00       0       1       1      97
20:50:00       0       1       1      97
20:55:00       0       1       1      98
21:00:00       0       1       1      97
21:05:00       0       1       1      97
21:10:00       0       1       1      97
21:15:00       0       1       1      97
21:20:00       0       1       1      97
21:25:00       0       1       1      98
21:30:00       0       1       1      97
21:35:00       0       1       1      97
21:40:00       0       1       1      97
21:45:00       0       1       1      97
21:50:00       0       1       1      98
21:55:00       0       1       1      98
22:00:00       0       1       1      97
22:05:00       0       1       1      97
22:10:00       0       1       1      97
22:15:00       0       1       1      97
22:20:00       0       1       1      97
22:25:00       0       1       1      97
22:30:00       0       1       1      98
22:35:00       0       1       1      98
22:40:00       0       1       1      97
22:45:00       0       1       1      97
22:50:00       0       1       1      98
22:55:01       0       1       1      97
23:00:00       0       1       1      97
23:05:00       0       1       1      97
23:10:00       0       1       1      97
23:15:00       0       1       1      97
23:20:00       0       1       1      98
23:25:00       0       1       1      98
23:30:00       0       1       1      97
23:35:00       0       1       1      97
23:40:00       0       1       1      98
23:45:00       0       1       1      98
23:50:00       0       1       1      97
23:55:00       0       1       1      97

Average        0       1       1      97

00:00:00   device        %busy   avque   r+w/s  blks/s  avwait  avserv

00:05:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       3     5.4     9.1
           md31              0     0.0       0       2     0.0     8.8
           md32              0     0.0       0       2     0.0     8.0
           md50              0     0.0       0       1     9.1     8.7
           md51              0     0.0       0       1     0.0     7.7
           md52              0     0.0       0       1     0.0     7.5
           md60              0     0.0       0       0     0.0     0.0
           md61              0     0.0       0       0     0.0     0.0
           md62              0     0.0       0       0     0.0     0.0
           md70              1     0.0       1      10     3.9    11.2
           md71              1     0.0       1       7     0.0    11.1
           md72              1     0.0       1       7     0.0     8.9
           sd0               2     0.0       2      11     0.0    10.6
           sd0,a             0     0.0       0       0     0.0     0.0
           sd0,b             0     0.0       0       0     0.0     0.0
           sd0,c             0     0.0       0       0     0.0     0.0
           sd0,d             0     0.0       0       2     0.0     8.8
           sd0,e             1     0.0       1       1     0.0    14.8
           sd0,f             0     0.0       0       1     0.0     7.7
           sd0,g             0     0.0       0       0     0.0     0.0
           sd0,h             1     0.0       1       7     0.0    11.1
           sd1               2     0.0       2      11     0.0     9.2
           sd1,a             0     0.0       0       0     0.0     0.0
           sd1,b             0     0.0       0       0     0.0     0.0
           sd1,c             0     0.0       0       0     0.0     0.0
           sd1,d             0     0.0       0       2     0.0     8.0
           sd1,e             1     0.0       1       1     0.0    13.7
           sd1,f             0     0.0       0       1     0.0     7.5
           sd1,g             0     0.0       0       0     0.0     0.0
           sd1,h             1     0.0       1       7     0.0     8.9
           sd30              0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0

00:10:01   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       2     6.4     8.7
           md31              0     0.0       0       2     0.0     7.7
           md32              0     0.0       0       2     0.0     8.2
           md50              0     0.0       0       1    11.4     8.7
           md51              0     0.0       0       1     0.0     7.3
           md52              0     0.0       0       1     0.0     7.5
           md60              0     0.0       0       0     0.0     0.0
           md61              0     0.0       0       0     0.0     0.0
           md62              0     0.0       0       0     0.0     0.0
           md70              1     0.0       1       7     4.3    10.8
           md71              1     0.0       1       5     0.0    11.0
           md72              1     0.0       1       5     0.0     8.4
           sd0               2     0.0       2       9     0.0    10.3
           sd0,a             0     0.0       0       0     0.0     0.0
           sd0,b             0     0.0       0       0     0.0     0.0
           sd0,c             0     0.0       0       0     0.0     0.0
           sd0,d             0     0.0       0       2     0.0     7.7
           sd0,e             1     0.0       1       1     0.0    14.5
           sd0,f             0     0.0       0       1     0.0     7.3
           sd0,g             0     0.0       0       0     0.0     0.0
           sd0,h             1     0.0       1       5     0.0    11.0
           sd1               2     0.0       2       9     0.0     9.2
           sd1,a             0     0.0       0       0     0.0     0.0
           sd1,b             0     0.0       0       0     0.0     0.0
           sd1,c             0     0.0       0       0     0.0     0.0
           sd1,d             0     0.0       0       2     0.0     8.2
           sd1,e             1     0.0       1       1     0.0    14.6
           sd1,f             0     0.0       0       1     0.0     7.5
           sd1,g             0     0.0       0       0     0.0     0.0
           sd1,h             1     0.0       1       5     0.0     8.3
           sd30              0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0

00:15:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       2     6.3    10.8
           md31              0     0.0       0       2     0.0     9.8
           md32              0     0.0       0       2     0.0     8.9
           md50              0     0.0       0       1    11.1    10.9
           md51              0     0.0       0       1     0.0     8.7
           md52              0     0.0       0       1     0.0     8.7
