Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:45:01 PM     all      0.82      0.00      0.60      0.12      0.03      0.00      0.03      0.00      0.00     98.41
05:45:01 PM       0      0.74      0.00      0.65      0.20      0.03      0.00      0.04      0.00      0.00     98.35
05:45:01 PM       1      0.90      0.00      0.55      0.05      0.03      0.00      0.01      0.00      0.00     98.47
05:55:01 PM     all      0.57      0.00      0.39      0.62      0.03      0.00      0.02      0.00      0.00     98.38
05:55:01 PM       0      0.58      0.00      0.39      1.15      0.03      0.00      0.03      0.00      0.00     97.82
05:55:01 PM       1      0.55      0.00      0.39      0.08      0.03      0.00      0.01      0.00      0.00     98.94
06:05:01 PM     all      0.59      0.00      0.42      0.15      0.02      0.00      0.02      0.00      0.00     98.80
06:05:01 PM       0      0.63      0.00      0.42      0.19      0.03      0.00      0.03      0.00      0.00     98.71
06:05:01 PM       1      0.54      0.00      0.42      0.11      0.02      0.00      0.01      0.00      0.00     98.89
06:15:01 PM     all      0.59      0.00      0.40      0.07      0.03      0.00      0.02      0.00      0.00     98.89
06:15:01 PM       0      0.66      0.00      0.43      0.13      0.03      0.00      0.03      0.00      0.00     98.72
06:15:01 PM       1      0.52      0.00      0.37      0.01      0.02      0.00      0.02      0.00      0.00     99.06
06:25:01 PM     all      0.65      0.00      0.40      0.10      0.03      0.00      0.02      0.00      0.00     98.79
06:25:01 PM       0      0.77      0.00      0.42      0.15      0.03      0.00      0.03      0.00      0.00     98.61
06:25:01 PM       1      0.54      0.00      0.39      0.05      0.03      0.00      0.01      0.00      0.00     98.98
06:35:01 PM     all      0.93      0.00      0.53      0.16      0.03      0.00      0.06      0.00      0.00     98.29
06:35:01 PM       0      0.98      0.00      0.61      0.23      0.03      0.00      0.10      0.00      0.00     98.06
06:35:01 PM       1      0.89      0.00      0.45      0.09      0.03      0.00      0.02      0.00      0.00     98.52
06:45:01 PM     all      0.88      0.00      0.52      0.16      0.03      0.00      0.03      0.00      0.00     98.38
06:45:01 PM       0      0.88      0.00      0.54      0.13      0.03      0.00      0.04      0.00      0.00     98.39
06:45:01 PM       1      0.89      0.00      0.50      0.19      0.03      0.00      0.02      0.00      0.00     98.38
06:55:01 PM     all      0.54      0.00      0.42      0.09      0.02      0.00      0.02      0.00      0.00     98.91
