Linux 6.8.0-106-generic (server_ubuntu24.04) 	03/27/26 	_x86_64_	(4 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:10:01        all      2.45      0.01      0.57      0.02      0.02      0.00      0.03      0.00      0.00     96.91
00:10:01          0      2.38      0.00      0.53      0.02      0.01      0.00      0.05      0.00      0.00     97.00
00:10:01          1      2.44      0.00      0.59      0.01      0.02      0.00      0.03      0.00      0.00     96.91
00:10:01          2      2.50      0.00      0.58      0.02      0.02      0.00      0.03      0.00      0.00     96.84
00:10:01          3      2.51      0.02      0.56      0.01      0.01      0.00      0.01      0.00      0.00     96.89
00:20:02        all      1.57      0.00      0.42      0.01      0.01      0.00      0.03      0.00      0.00     97.95
00:20:02          0      1.85      0.00      0.46      0.01      0.01      0.00      0.05      0.00      0.00     97.62
00:20:02          1      1.25      0.00      0.36      0.01      0.01      0.00      0.03      0.00      0.00     98.35
00:20:02          2      1.71      0.00      0.43      0.01      0.02      0.00      0.04      0.00      0.00     97.79
00:20:02          3      1.49      0.00      0.42      0.03      0.02      0.00      0.00      0.00      0.00     98.04
00:30:01        all      1.46      0.00      0.41      0.01      0.01      0.00      0.03      0.00      0.00     98.08
00:30:01          0      1.55      0.00      0.42      0.01      0.01      0.00      0.06      0.00      0.00     97.96
00:30:01          1      1.86      0.00      0.48      0.01      0.01      0.00      0.02      0.00      0.00     97.62
00:30:01          2      1.38      0.00      0.38      0.02      0.01      0.00      0.03      0.00      0.00     98.18
00:30:01          3      1.04      0.00      0.35      0.02      0.01      0.00      0.01      0.00      0.00     98.57
00:40:01        all      1.49      0.00      0.40      0.01      0.01      0.00      0.03      0.00      0.00     98.06
00:40:01          0      0.82      0.00      0.27      0.02      0.01      0.00      0.06      0.00      0.00     98.82
00:40:01          1      1.80      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     97.71
00:40:01          2      1.98      0.00      0.51      0.01      0.02      0.00      0.03      0.00      0.00     97.45
00:40:01          3      1.37      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.25
00:50:01        all      1.47      0.00      0.38      0.01      0.01      0.00      0.03      0.00      0.00     98.10
00:50:01          0      0.73      0.00      0.26      0.02      0.01      0.00      0.06      0.00      0.00     98.92
00:50:01          1      1.74      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     97.79
00:50:01          2      1.58      0.00      0.42      0.01      0.01      0.00      0.03      0.00      0.00     97.95
00:50:01          3      1.82      0.00      0.42      0.01      0.01      0.00      0.00      0.00      0.00     97.74
01:00:01        all      1.36      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.23
01:00:01          0      1.35      0.00      0.41      0.01      0.01      0.00      0.05      0.00      0.00     98.17
01:00:01          1      1.53      0.00      0.41      0.01      0.01      0.00      0.02      0.00      0.00     98.03
01:00:01          2      1.59      0.00      0.36      0.01      0.01      0.00      0.03      0.00      0.00     97.99
01:00:01          3      0.97      0.00      0.29      0.02      0.01      0.00      0.00      0.00      0.00     98.71
01:10:01        all      1.86      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     97.66
01:10:01          0      1.94      0.00      0.46      0.01      0.01      0.00      0.05      0.00      0.00     97.53
01:10:01          1      2.15      0.00      0.44      0.02      0.01      0.00      0.02      0.00      0.00     97.36
01:10:01          2      1.73      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     97.78
01:10:01          3      1.61      0.00      0.41      0.01      0.01      0.00      0.00      0.00      0.00     97.95
01:20:01        all      1.46      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.12
01:20:01          0      1.17      0.00      0.32      0.01      0.01      0.00      0.04      0.00      0.00     98.45
01:20:01          1      2.02      0.00      0.48      0.02      0.01      0.00      0.02      0.00      0.00     97.45
01:20:01          2      1.07      0.00      0.32      0.01      0.01      0.00      0.01      0.00      0.00     98.58
01:20:01          3      1.59      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.02
01:30:01        all      1.61      0.00      0.41      0.02      0.01      0.00      0.02      0.00      0.00     97.93
01:30:01          0      1.83      0.00      0.43      0.02      0.01      0.00      0.05      0.00      0.00     97.67
01:30:01          1      2.18      0.00      0.49      0.03      0.01      0.00      0.02      0.00      0.00     97.28
01:30:01          2      1.34      0.00      0.41      0.01      0.01      0.00      0.01      0.00      0.00     98.21
01:30:01          3      1.10      0.00      0.33      0.01      0.01      0.00      0.00      0.00      0.00     98.56
01:40:01        all      1.50      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.06
01:40:01          0      1.05      0.00      0.36      0.01      0.01      0.00      0.05      0.00      0.00     98.52
01:40:01          1      1.87      0.00      0.48      0.02      0.01      0.00      0.02      0.00      0.00     97.61
01:40:01          2      1.76      0.00      0.42      0.01      0.01      0.00      0.01      0.00      0.00     97.80
01:40:01          3      1.33      0.00      0.36      0.01      0.01      0.00      0.00      0.00      0.00     98.30
01:50:01        all      1.57      0.00      0.39      0.02      0.01      0.00      0.02      0.00      0.00     97.99
