Linux 3.10.0-1062.7.1.el7.x86_64 (server_rhel7.6) 	12/31/2019 	_x86_64_	(1 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:10:01 AM     all      1.28      0.00      1.28      0.07      0.00      0.00      0.01      0.00      0.00     97.37
12:10:01 AM       0      1.28      0.00      1.28      0.07      0.00      0.00      0.01      0.00      0.00     97.37
12:20:01 AM     all      1.13      0.00      1.13      0.03      0.00      0.00      0.01      0.00      0.00     97.70
12:20:01 AM       0      1.13      0.00      1.13      0.03      0.00      0.00      0.01      0.00      0.00     97.70
12:30:01 AM     all      1.13      0.00      1.10      0.02      0.00      0.00      0.01      0.00      0.00     97.74
12:30:01 AM       0      1.13      0.00      1.10      0.02      0.00      0.00      0.01      0.00      0.00     97.74
12:40:01 AM     all      1.36      0.00      1.40      0.05      0.00      0.00      0.01      0.00      0.00     97.18
12:40:01 AM       0      1.36      0.00      1.40      0.05      0.00      0.00      0.01      0.00      0.00     97.18
12:50:02 AM     all      1.11      0.00      1.13      0.04      0.00      0.00      0.01      0.00      0.00     97.72
12:50:02 AM       0      1.11      0.00      1.13      0.04      0.00      0.00      0.01      0.00      0.00     97.72
01:00:01 AM     all      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
01:00:01 AM       0      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
01:10:01 AM     all      1.42      0.00      1.42      0.07      0.00      0.00      0.01      0.00      0.00     97.08
01:10:01 AM       0      1.42      0.00      1.42      0.07      0.00      0.00      0.01      0.00      0.00     97.08
01:20:01 AM     all      1.09      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.74
01:20:01 AM       0      1.09      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.74
01:30:01 AM     all      1.13      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.74
01:30:01 AM       0      1.13      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.74
01:40:01 AM     all      1.38      0.00      1.38      0.05      0.00      0.00      0.00      0.00      0.00     97.19
01:40:01 AM       0      1.38      0.00      1.38      0.05      0.00      0.00      0.00      0.00      0.00     97.19
01:50:01 AM     all      1.12      0.00      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.72
01:50:01 AM       0      1.12      0.00      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.72

01:50:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:00:01 AM     all      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.75
02:00:01 AM       0      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.75
02:10:01 AM     all      1.41      0.00      1.42      0.06      0.00      0.00      0.00      0.00      0.00     97.10
02:10:01 AM       0      1.41      0.00      1.42      0.06      0.00      0.00      0.00      0.00      0.00     97.10
02:20:02 AM     all      1.12      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.72
02:20:02 AM       0      1.12      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.72
02:30:01 AM     all      1.10      0.00      1.14      0.02      0.00      0.00      0.00      0.00      0.00     97.74
02:30:01 AM       0      1.10      0.00      1.14      0.02      0.00      0.00      0.00      0.00      0.00     97.74
02:40:01 AM     all      1.34      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.18
02:40:01 AM       0      1.34      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.18
02:50:01 AM     all      1.12      0.00      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.73
02:50:01 AM       0      1.12      0.00      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.73
03:00:01 AM     all      1.12      0.00      1.10      0.02      0.00      0.00      0.00      0.00      0.00     97.75
03:00:01 AM       0      1.12      0.00      1.10      0.02      0.00      0.00      0.00      0.00      0.00     97.75
03:10:01 AM     all      1.33      0.00      1.41      2.92      0.00      0.00      0.00      0.00      0.00     94.33
03:10:01 AM       0      1.33      0.00      1.41      2.92      0.00      0.00      0.00      0.00      0.00     94.33
03:20:01 AM     all      1.12      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.75
03:20:01 AM       0      1.12      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.75
03:30:01 AM     all      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.74
03:30:01 AM       0      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.74
03:40:01 AM     all      1.35      0.00      1.42      0.06      0.00      0.00      0.01      0.00      0.00     97.17
03:40:01 AM       0      1.35      0.00      1.42      0.06      0.00      0.00      0.01      0.00      0.00     97.17

03:40:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:50:01 AM     all      1.14      0.03      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.68
03:50:01 AM       0      1.14      0.03      1.11      0.04      0.00      0.00      0.00      0.00      0.00     97.68
04:00:02 AM     all      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
04:00:02 AM       0      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
04:10:01 AM     all      1.36      0.00      1.49      0.07      0.00      0.00      0.01      0.00      0.00     97.07
04:10:01 AM       0      1.36      0.00      1.49      0.07      0.00      0.00      0.01      0.00      0.00     97.07
04:20:01 AM     all      1.15      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.69
04:20:01 AM       0      1.15      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.69
04:30:01 AM     all      1.09      0.22      1.20      0.04      0.00      0.00      0.00      0.00      0.00     97.45
04:30:01 AM       0      1.09      0.22      1.20      0.04      0.00      0.00      0.00      0.00      0.00     97.45
04:40:01 AM     all      1.37      0.00      1.38      0.05      0.00      0.00      0.00      0.00      0.00     97.20
04:40:01 AM       0      1.37      0.00      1.38      0.05      0.00      0.00      0.00      0.00      0.00     97.20
04:50:01 AM     all      1.11      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.73
04:50:01 AM       0      1.11      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.73
05:00:01 AM     all      1.12      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.76
05:00:01 AM       0      1.12      0.00      1.11      0.02      0.00      0.00      0.00      0.00      0.00     97.76
05:10:01 AM     all      1.40      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.13
05:10:01 AM       0      1.40      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.13
